id	label
29507	0
88379	0
15936	1
54188	0
53804	1
70315	1
55037	0
18562	1
93419	1
24782	1
61634	0
63591	1
87510	0
20335	0
52832	0
43458	0
25883	0
10201	0
38473	0
22919	1
95469	0
72604	1
12533	0
51894	0
89484	0
46950	0
88788	1
78081	0
69274	0
88044	0
86265	1
39599	0
27176	1
33290	1
20061	0
50681	1
18263	0
81048	1
80333	0
10038	0
19515	0
49370	0
46954	1
45721	0
95617	1
65553	0
10867	1
15286	1
30154	0
72596	0
80635	1
57463	0
68261	0
67261	1
32305	0
94727	0
47549	1
87636	0
96837	0
67572	0
76406	0
11589	1
29463	0
59711	0
40903	0
80374	1
93689	1
24431	0
80239	0
52719	1
81640	1
71033	0
14968	0
42614	0
79385	0
72487	0
87052	0
83989	0
21429	0
80206	0
79207	0
52204	1
66941	0
83511	0
54209	1
23029	1
96880	0
25698	0
21861	1
54769	0
74999	0
48329	0
51683	0
45744	0
37632	1
97093	1
81608	0
34199	0
46849	1
89551	0
72290	0
69258	0
72045	0
49204	1
66659	0
59391	0
13983	0
72886	0
63747	0
61104	0
42537	1
25855	1
15615	0
66991	0
31555	0
67640	0
19543	1
99342	0
77789	0
17114	0
58303	1
79577	1
58928	0
67777	1
71819	1
89343	0
87148	0
99147	0
77653	0
81472	1
64051	0
12590	0
34694	1
27974	0
36049	1
42573	0
32533	0
94181	0
72126	0
88118	0
53209	0
62363	0
93456	1
22946	1
19813	1
21634	0
66198	0
20199	0
13629	1
95191	0
88855	0
55558	0
93004	1
83725	0
76436	1
31850	0
35003	1
19008	0
23227	1
77514	0
64858	0
67920	0
91719	1
58476	1
78932	0
75815	1
94456	1
59831	0
67744	0
32036	1
20586	0
57826	1
50204	0
58738	0
48017	1
87717	0
26365	1
54546	0
51713	0
39767	0
99331	0
91930	0
24129	1
30680	1
30224	0
73043	0
44586	0
64374	1
46107	0
67537	0
20292	1
93835	0
11856	1
67662	0
77031	1
24227	0
54652	1
52905	0
11936	0
86688	1
70044	1
69197	0
49334	0
11040	0
25030	1
37831	0
84152	0
36692	0
30770	0
99381	1
43879	0
41416	0
14396	1
13255	0
82359	1
31274	0
26934	0
39296	0
43667	0
53501	1
16138	0
43584	0
43546	0
89881	0
27034	0
44822	0
52580	0
83076	0
43944	1
80819	0
80682	0
10009	1
54783	0
37457	0
17601	0
44143	1
44762	0
94730	0
16548	0
58763	0
38056	0
63332	0
42423	1
99633	0
48223	0
68163	0
60490	0
50178	0
49000	0
59567	1
67168	0
20136	1
65036	0
48370	1
67565	0
77889	0
61944	1
86626	1
25527	0
83756	1
49350	0
44744	0
65592	0
11160	0
78556	1
75610	0
25306	1
76336	1
69441	1
96697	1
89701	0
36699	1
29089	0
24070	0
66289	0
30961	0
20841	0
73842	0
34003	0
58759	1
65402	1
82355	1
92124	0
60023	0
58699	1
98878	0
43966	1
19935	0
14590	0
70917	1
33639	0
79001	1
71921	0
19629	0
88008	0
82753	0
58482	0
52934	0
96587	1
14276	0
87269	1
95149	1
89277	1
57599	0
80651	1
41887	0
31284	0
89650	0
97860	0
44317	0
44907	0
12303	0
52906	1
16501	0
78835	0
21527	0
17615	0
58382	0
82019	0
46519	0
51194	1
10583	0
12272	0
40932	0
93599	0
31525	0
31515	0
31136	0
93553	0
36838	0
11928	0
90642	0
84857	0
29339	0
48645	1
38747	1
64434	0
72117	0
66933	0
45233	1
78862	0
41907	0
46102	0
69454	1
28857	1
84265	1
80221	0
11932	0
13602	1
83069	1
83202	1
14240	0
69725	1
79702	0
40912	0
86871	1
82618	1
99480	0
47449	0
