id,label
15923,0
60133,0
83681,1
65507,0
12588,0
34263,0
49139,0
58995,0
88490,0
46444,0
60587,0
70569,1
44546,0
51628,0
30899,0
40110,0
15998,0
96457,0
70841,0
46139,0
80947,0
40386,0
98916,0
32190,0
27550,0
24040,0
73516,0
88905,0
42112,0
37740,0
72405,0
47445,0
27158,0
17183,0
42325,0
15180,0
58026,0
81352,0
33133,0
91036,0
22882,0
40842,0
73612,0
15815,0
24049,0
79204,0
46229,1
42196,0
34669,0
34575,0
20357,0
52445,0
10991,0
57135,0
72369,1
42192,0
43587,0
10684,1
41553,0
62986,0
70051,0
73642,0
10727,0
11645,0
72274,0
21524,0
84579,1
59519,0
51386,0
10918,0
57541,0
25125,0
61295,1
53351,0
25463,0
85613,0
85886,0
54621,1
80397,0
68875,0
67926,0
41588,0
51948,0
28196,0
50376,1
45304,1
27228,0
57326,0
88221,0
17714,1
97610,0
63048,0
30075,0
60466,0
25685,0
16333,0
78417,0
51525,0
84550,1
23530,0
57284,0
59700,1
13433,0
80197,0
79309,0
47696,0
71294,0
55633,0
87934,0
57732,0
27455,0
83466,0
48657,0
89635,1
89603,1
86611,0
12193,0
63985,1
20522,0
94260,1
70324,1
89329,0
11100,0
83240,0
81890,0
72037,0
78301,1
94607,0
72531,0
98575,0
58342,1
39429,0
18786,0
35785,1
67049,0
82273,1
98216,0
37649,0
14582,0
59751,0
92215,0
22311,0
75125,1
21354,0
22594,0
19410,1
33394,0
56513,1
59691,1
41997,0
56637,0
19815,0
97410,0
77746,0
17704,0
61674,0
39860,1
21826,1
79934,0
55048,0
76833,0
55832,0
32056,1
67841,0
94427,0
96594,0
62689,0
35968,0
14516,0
15866,0
57185,0
91430,0
29203,0
27913,0
53325,0
46410,0
26072,1
16856,0
89200,0
45269,0
15437,0
91472,1
98531,0
43753,0
98685,1
31665,0
38732,0
46983,0
22067,0
79756,0
99563,0
23542,0
83416,0
67418,0
58632,0
35612,1
96905,0
79778,0
90328,0
71350,0
43782,0
58287,0
32061,0
63129,0
74797,0
25177,0
87428,0
39400,0
62788,0
88745,0
70443,0
90327,0
65545,0
58543,0
79222,0
72401,0
31354,0
29008,0
41590,1
72523,0
14640,0
74909,0
96397,1
34030,0
69073,0
29113,0
11286,0
41821,1
76379,0
52080,0
51762,0
71592,0
78688,0
76135,0
30778,0
22569,0
48938,0
41438,1
73439,0
67018,1
